accession,pubmed_ids,dois,pmcids
PRD000001,"[16518876, 16038019, 12665801, 15048972]","10.1002/pmic.200500309,10.1002/pmic.200401142,10.1038/nbt810,10.1002/pmic.200300641",
PRD000002,"[16052619, 16052623, 16052621, 15061371, 16104057, 15502245, 16052624, 15188391, 16104056]","10.1002/pmic.200401226,10.1002/pmic.200401308,10.1002/pmic.200401245,10.1515/CCLM.2004.001,10.1002/pmic.200500186,10.1002/pmic.200401320,10.1002/pmic.200300686,10.1002/pmic.200500358",PMC3839274
PRD000008,[16179924],10.1038/nmeth792,
PRD000009,[15684408],10.1074/mcp.T500002-MCP200,
PRD000010,[16457602],10.1021/pr0503681,PMC1850945
PRD000011,[16739993],10.1021/pr060026a,
PRD000012,[16518876],10.1002/pmic.200500309,
PRD000013,[16518876],10.1002/pmic.200500309,
PRD000014,"[16247735, 16512672, 10504701]","10.1002/pmic.200500112,10.1021/pr050360r,10.1038/13690",
PRD000017,[16525475],10.1038/nature04541,
PRD000018,"[16927431, 16927420, 16927427, 16912972, 16967475, 16912976, 16927432, 16912973, 16912971, 16912975, 16927428, 16912970, 16927429, 16912974, 16927433, 16912969]","10.1002/pmic.200600152,10.1002/pmic.200600269,10.1002/pmic.200600079,10.1002/pmic.200600188,10.1002/pmic.200690105,10.1002/pmic.200600305,10.1002/pmic.200600294,10.1002/pmic.200600189,10.1002/pmic.200600084,10.1002/pmic.200600291,10.1002/pmic.200600089,10.1002/pmic.200600080,10.1002/pmic.200600098,10.1002/pmic.200600194,10.1002/pmic.200600295,10.1002/pmic.200600078",
PRD000019,"[17022648, 16737901, 15582749, 15851850, 16914840]","10.1021/pr060251s,10.1016/S0074-7742(06)73002-1,10.1016/j.neurobiolaging.2004.03.012",
PRD000021,[17344860],10.1038/nature05624,
PRD000023,[17853511],10.1002/pmic.200600859,
PRD000024,"[15822906, 18294385]","10.1021/pr049842d,10.1186/1752-0509-2-19",PMC2291030
PRD000027,[17164401],10.1074/mcp.T600049-MCP200,
PRD000029,[17893089],10.1093/bioinformatics/btm430,
PRD000030,[17722207],10.1002/pmic.200700312,
PRD000032,[17721511],10.1038/nbt1328,
PRD000033,"[11350965, 10966104]",10.1074/jbc.M102288200,
PRD000035,[23232717],10.1128/mBio.00495-12,PMC3520108
PRD000038,[19941307],10.1002/pmic.200800706,
PRD000042,[17711322],10.1021/pr070203n,
PRD000044,[18436743],10.1126/science.1157956,
PRD000045,[18534969],10.1074/mcp.M800093-MCP200,PMC2556017
PRD000049,[17272266],10.1074/mcp.M600365-MCP200,
PRD000050,[18703679],10.1101/gad.1682308,PMC2532931
PRD000052,[19043101],10.1074/mcp.M800249-MCP200,PMC2667348
PRD000053,[19678649],10.1021/pr900057t,
PRD000054,[18307296],10.1021/pr700667w,
PRD000055,[18850632],10.1002/pmic.200800297,
PRD000057,[16684765],10.1074/mcp.M600139-MCP200,
PRD000062,[19119138],10.1074/mcp.M800226-MCP200,PMC2689760
PRD000067,[19193216],10.1186/1471-2164-10-61,PMC2644712
PRD000068,[19436052],10.1182/blood-2009-02-203828,
PRD000069,[19448641],10.1038/nmeth.1333,PMC2785450
PRD000070,[18842122],10.1186/1471-2105-9-423,PMC2577660
PRD000073,"[18632595, 16684767, 16335952]","10.1074/mcp.M800008-MCP200,10.1074/mcp.M600068-MCP200,10.1021/pr0502065","PMC2559934,PMC1783978,PMC1850943"
PRD000074,"[17431180, 17823333, 17431179, 18436782]","10.1126/science.1137614,10.1126/science.317.5843.1324,10.1126/science.1138709,10.1126/science.1154284",
PRD000075,[19420222],10.1073/pnas.0901931106,PMC2688859
PRD000079,[21751356],10.1002/pmic.201000680,
PRD000082,"[8026443, 17636165, 20574525, 15822906]","10.1530/REP-06-0149,10.1371/journal.pone.0011240,10.1021/pr049842d",PMC2888582
PRD000084,[19546170],10.1101/gr.089060.108,PMC2765272
PRD000085,"[17431180, 17823333]","10.1126/science.1137614,10.1126/science.317.5843.1324",
PRD000086,[17439666],10.1186/jbiol54,PMC2373899
PRD000087,[19750512],10.1002/pmic.200800951,
PRD000088,"[19750512, 17431180, 17823333, 18436782]","10.1002/pmic.200800951,10.1126/science.1137614,10.1126/science.317.5843.1324,10.1126/science.1154284",
PRD000089,[19701918],10.1002/pmic.200900050,
PRD000092,[19778645],10.1016/j.jprot.2009.08.010,
PRD000096,[19376835],10.1104/pp.109.138677,PMC2689975
PRD000097,[19260763],10.1371/journal.pbio.1000048,PMC2650730
PRD000099,"[19609557, 18351667]","10.1007/s00427-009-0294-8,10.1002/dvdy.21510",
PRD000100,[19558674],10.1186/gb-2009-10-6-r70,PMC2718504
PRD000104,[19664994],10.1016/j.stem.2009.06.002,PMC2726933
PRD000108,[19810032],10.1002/pmic.200900065,
PRD000109,[20025733],10.1186/1471-2164-10-621,PMC2807442
PRD000111,"[16948836, 14532353, 16927429]","10.1186/gb-2006-7-9-R80,10.1074/mcp.M300087-MCP200,10.1002/pmic.200600098",PMC1794545
PRD000113,[19670903],10.1021/pr9004426,
PRD000114,[20462273],10.1021/pr901150g,
PRD000115,"[16948836, 20099899, 14532353, 16927429]","10.1186/gb-2006-7-9-R80,10.1021/pr900735k,10.1074/mcp.M300087-MCP200,10.1002/pmic.200600098",PMC1794545
PRD000116,[19995728],10.1093/mp/ssp070,
PRD000118,[20058876],10.1021/ac901764g,
PRD000119,[20806226],10.1002/pmic.201000092,
PRD000122,[18653799],10.1101/gr.077644.108,PMC2556273
PRD000123,[19770167],10.1074/mcp.M900291-MCP200,PMC2808269
PRD000124,[19770167],10.1074/mcp.M900291-MCP200,PMC2808269
PRD000126,[21113525],10.1039/c0mb00194e,
PRD000136,[19805315],10.1073/pnas.0905240106,PMC2738620
PRD000139,[19875382],10.1074/mcp.M900359-MCP200,PMC2830850
PRD000140,[19921684],10.1002/pmic.200800906,
PRD000141,[19888209],10.1038/msb.2009.68,PMC2779082
PRD000142,[19663511],10.1021/pr900372c,
PRD000146,[19786723],10.1074/mcp.M900308-MCP200,PMC2830844
PRD000150,"[18539730, 21386900]","10.1128/JB.00614-08,10.1371/journal.pone.0017111","PMC2493269,PMC3046131"
PRD000151,[20432482],10.1002/pmic.200900705,
PRD000153,[20400973],10.1038/aja.2010.19,PMC3739268
PRD000154,"[18410134, 18399644]","10.1021/ac8001353,10.1021/ac702635v",
PRD000157,[21081695],10.1105/tpc.110.079764,PMC3015116
PRD000158,[20020041],10.1371/journal.pone.0008371,PMC2791215
PRD000161,[20345176],10.1021/pr901009n,
PRD000163,"[16948836, 14532353, 16927429]","10.1186/gb-2006-7-9-R80,10.1074/mcp.M300087-MCP200,10.1002/pmic.200600098",PMC1794545
PRD000165,[20037178],10.1074/mcp.M900275-MCP200,PMC2849712
PRD000167,[20455215],10.1002/pmic.201000075,
PRD000168,[20455215],10.1002/pmic.201000075,
PRD000170,[20601493],10.1074/mcp.M110.001214,PMC2953910
PRD000172,[20000743],10.1021/pr900989q,
PRD000176,[20486120],10.1002/pmic.201000126,PMC3891941
PRD000177,[20824133],10.1371/journal.pone.0012497,PMC2931697
PRD000178,[20213678],10.1002/pmic.200900711,
PRD000182,[20843791],10.1074/jbc.M110.160531,PMC2998143
PRD000183,[20645384],10.1002/pmic.201000054,
PRD000184,[20089766],10.1104/pp.109.152694,PMC2832236
PRD000187,[21182204],10.1002/pmic.200900816,
PRD000189,[20089766],10.1104/pp.109.152694,PMC2832236
PRD000191,[20368289],10.1074/mcp.M000027-MCP201,PMC2938089
PRD000192,[20368289],10.1074/mcp.M000027-MCP201,PMC2938089
PRD000193,[20368289],10.1074/mcp.M000027-MCP201,PMC2938089
PRD000194,[20512790],10.1002/pmic.201000039,PMC2934747
PRD000197,[20423899],10.1074/mcp.M000038-MCP201,PMC2938090
PRD000199,[21081695],10.1105/tpc.110.079764,PMC3015116
PRD000204,[20422638],10.1002/pmic.200900516,PMC2926150
PRD000209,[20376869],10.1002/anie.200907153,
PRD000211,[22363648],10.1371/journal.pone.0031438,PMC3281962
PRD000214,[22067460],10.1126/scisignal.2001993,PMC4206221
PRD000216,[20362542],10.1016/j.stem.2010.03.004,PMC2860244
PRD000218,[17578611],10.1007/s10142-007-0051-x,
PRD000220,[20639865],10.1038/nbt.1654,PMC2946519
PRD000221,[20978121],10.1074/jbc.M110.159483,PMC3012983
PRD000226,[21857030],10.1074/mcp.M111.008540,PMC3226402
PRD000227,[20974537],10.1016/j.plaphy.2010.09.020,
PRD000231,[20567863],10.1007/s00726-010-0649-5,
PRD000232,[21122111],10.1186/1752-0509-4-166,PMC3014970
PRD000233,[21058337],10.1002/pmic.200900718,
PRD000234,[20604508],10.1021/pr1004168,
PRD000237,[22002057],10.1074/jbc.M111.260885,PMC3234908
PRD000238,[21447709],10.1074/mcp.M110.004549,PMC3108833
PRD000239,[21447709],10.1074/mcp.M110.004549,PMC3108833
PRD000242,[21139050],10.1074/mcp.M110.000901,PMC3047144
PRD000246,[21142212],10.1021/pr100785n,
PRD000249,[22750914],10.1016/j.peptides.2012.06.011,
PRD000251,[20606017],10.1101/gr.100099.109,PMC2909574
PRD000255,[20530634],10.1074/mcp.M110.001362,PMC2938118
PRD000257,[20721399],10.1039/c003112g,
PRD000258,[21058741],10.1021/pr100774f,
PRD000259,[22026815],10.1111/j.1365-3040.2011.02452.x,
PRD000262,[21070068],10.1021/pr100906v,
PRD000263,[21790200],10.1021/pr200422f,
PRD000266,[21349178],10.1186/1475-2859-10-12,PMC3049130
PRD000267,[21349178],10.1186/1475-2859-10-12,PMC3049130
PRD000268,[20932057],10.1021/pr100683k,
PRD000269,[20551380],10.1074/mcp.M110.001693,PMC2938114
PRD000270,[20573986],10.1074/mcp.M110.001263,PMC2953915
PRD000271,[21887821],10.1002/pmic.201100169,
PRD000272,[21887821],10.1002/pmic.201100169,
PRD000273,[21209325],10.1091/mbc.E10-07-0632,PMC3046064
PRD000276,[21373189],10.1371/journal.pone.0016682,PMC3044136
PRD000277,[21610102],10.1074/mcp.M110.003749,PMC3186190
PRD000280,[21693672],10.1104/pp.111.181008,PMC3149931
PRD000283,[21069399],10.1007/s00726-010-0795-9,
PRD000284,[24364495],,
PRD000285,[21673276],10.1074/mcp.M110.003962,PMC3205851
PRD000286,[20818828],10.1021/pr100555v,
PRD000288,[22065562],10.1002/pmic.201000782,
PRD000289,[20610395],10.1074/jbc.M110.116657,PMC2937917
PRD000291,[21041689],10.1161/CIRCULATIONAHA.110.972745,
PRD000292,[21472855],10.1002/pmic.201000558,
PRD000293,[21751344],10.1002/pmic.201000212,
PRD000300,[21246729],10.1002/jssc.201000626,
PRD000301,[21269335],10.1111/j.1365-2958.2011.07542.x,PMC3084552
PRD000303,[21749422],10.1111/j.1365-2052.2010.02158.x,
PRD000307,[21635980],10.1016/j.jprot.2011.05.028,
PRD000308,[21768351],10.1073/pnas.1104734108,PMC3150903
PRD000309,[20971078],10.1016/j.bbrc.2010.10.076,
PRD000312,[21569391],10.1186/1752-0509-5-68,PMC3123200
PRD000313,[22647150],10.1186/1471-2180-12-84,PMC3502158
PRD000314,[22128122],10.1105/tpc.111.092882,PMC3246318
PRD000316,[21834139],10.1002/pmic.201000795,
PRD000317,[25288888],10.4137/PRI.S13288,PMC4147754
PRD000321,[21145484],10.1016/j.molcel.2010.11.038,PMC3032380
PRD000323,[21657795],10.1021/pr2002066,
PRD000326,[21421797],10.1074/mcp.M110.007039,PMC3108839
PRD000327,[21635980],10.1016/j.jprot.2011.05.028,
PRD000328,[21460061],10.1101/gr.114272.110,PMC3083093
PRD000333,[22965736],10.1002/pmic.201100644,
PRD000334,[21698107],10.1371/journal.pone.0020865,PMC3117840
PRD000336,[21799483],10.1038/nprot.2011.355,
PRD000340,[21365759],10.1002/pmic.201000541,
PRD000341,[21751360],10.1002/pmic.201000745,
PRD000345,[21258344],10.1038/nbt.1759,
PRD000347,[21564021],10.1042/BJ20110210,
PRD000348,[21818284],10.1371/journal.pone.0021964,PMC3139596
PRD000350,[21356107],10.1186/1471-2164-12-133,PMC3058083
PRD000354,[21630462],10.1002/pmic.201100022,
PRD000357,[21695689],10.1002/pmic.201100068,
